file	concept	surface	presentation	appearance	accessibility	engine	fixture	window_size	activity	expected_points	pixel_width	pixel_height	launch_arguments
native-workbench__connections__light__system__postgresql__populated__typical__active.png	native-workbench	connections	standard	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface connections --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
native-workbench__connections__light__system__postgresql__populated__typical__active__connection-sheet.png	native-workbench	connections	connection-sheet	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface connections --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture --presentation connection-sheet
native-workbench__setup__light__system__postgresql__populated__typical__active.png	native-workbench	setup	standard	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface setup --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
native-workbench__data-grid__light__system__postgresql__populated__typical__active.png	native-workbench	data-grid	standard	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
native-workbench__data-grid__dark__system__postgresql__populated__typical__active.png	native-workbench	data-grid	standard	dark	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance dark --accessibility system --engine postgresql --fixture populated --window-size typical --capture
native-workbench__data-grid__light__system__postgresql__populated__typical__active__structure.png	native-workbench	data-grid	structure	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture --presentation structure
native-workbench__data-grid__light__system__postgresql__populated__typical__active__safe-edit.png	native-workbench	data-grid	safe-edit	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface data-grid --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture --presentation safe-edit
native-workbench__sql-results__light__system__postgresql__populated__typical__active.png	native-workbench	sql-results	standard	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface sql-results --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture
native-workbench__sql-results__dark__system__postgresql__populated__typical__active.png	native-workbench	sql-results	standard	dark	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface sql-results --appearance dark --accessibility system --engine postgresql --fixture populated --window-size typical --capture
native-workbench__sql-results__light__system__postgresql__populated__typical__active__query-error.png	native-workbench	sql-results	query-error	light	system	postgresql	populated	typical	active	1440x900	2880	1800	--concept native-workbench --surface sql-results --appearance light --accessibility system --engine postgresql --fixture populated --window-size typical --capture --presentation query-error
